"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","schoolsup","famsup","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","failures.Math","paid.Math","absences.Math","G1.Math","G2.Math","G3.Math","failures.Port","paid.Port","absences.Port","G1.Port","G2.Port","G3.Port"
"195","GP","M",15,"U","GT3","T",4,3,"teacher","other","home","mother",1,2,"no","yes","yes","yes","yes","yes","no",4,3,3,2,3,5,0,"yes",6,9,9,10,0,"no",0,11,11,11
"121","GP","F",17,"U","GT3","T",3,2,"other","other","course","mother",1,2,"no","no","yes","no","yes","yes","no",5,3,4,1,3,3,0,"no",10,16,15,15,0,"no",2,17,18,17
"288","GP","M",17,"U","GT3","T",4,4,"services","teacher","home","mother",1,1,"no","no","no","yes","yes","yes","no",5,2,3,1,2,5,0,"no",4,17,15,16,0,"no",4,13,13,14
"299","GP","M",17,"U","LE3","T",4,4,"teacher","other","reputation","mother",1,2,"no","yes","yes","yes","yes","yes","no",4,4,4,1,3,5,0,"yes",0,13,11,10,0,"no",0,11,9,10
"191","GP","M",15,"U","GT3","T",4,2,"health","services","other","mother",1,1,"no","no","no","yes","yes","yes","no",2,2,4,2,4,1,0,"yes",4,15,16,15,0,"no",0,11,11,11
"55.1","GP","F",16,"U","GT3","T",2,2,"other","other","reputation","mother",1,4,"no","no","no","yes","yes","yes","yes",5,2,3,1,3,3,0,"yes",0,11,11,11,0,"no",1,13,13,13
"331","GP","M",22,"U","GT3","T",3,1,"services","services","other","mother",1,1,"no","no","no","no","no","yes","yes",5,4,5,5,5,1,3,"no",16,6,8,8,3,"no",12,7,8,5
"105","GP","F",17,"U","GT3","A",3,3,"health","other","reputation","mother",1,2,"no","yes","no","no","yes","yes","yes",3,3,3,1,3,3,0,"no",6,8,7,9,0,"no",10,12,13,14
"329.1","GP","M",19,"U","LE3","A",4,3,"services","at_home","reputation","mother",1,2,"no","yes","no","yes","yes","yes","no",4,3,1,1,1,1,0,"no",12,11,11,11,0,"no",4,11,13,14
"195.1","GP","M",15,"U","GT3","T",4,3,"teacher","other","home","mother",1,2,"no","yes","yes","yes","yes","yes","no",4,3,3,2,3,5,0,"yes",6,9,9,10,0,"no",0,11,11,11
"10","GP","F",15,"U","GT3","A",3,3,"other","health","reputation","father",1,4,"yes","no","no","yes","yes","no","no",4,3,3,1,1,4,0,"no",10,10,11,11,0,"no",10,10,10,10
"246.1","GP","M",16,"U","GT3","T",4,4,"services","services","course","mother",1,1,"no","no","yes","yes","yes","yes","no",5,3,2,1,2,5,0,"no",0,13,12,12,0,"yes",4,14,15,15
"80.1","GP","F",16,"U","LE3","A",3,3,"other","services","home","mother",1,2,"no","yes","no","yes","yes","yes","no",2,3,5,1,4,3,0,"no",12,11,12,11,0,"no",6,13,12,13
"119.1","GP","F",17,"U","GT3","T",3,1,"services","services","course","father",1,3,"no","yes","no","no","yes","yes","no",3,4,3,2,3,5,0,"no",1,12,14,15,0,"no",0,17,18,17
"62","GP","F",16,"U","GT3","T",3,2,"other","other","reputation","mother",1,2,"no","yes","no","yes","yes","yes","no",1,2,2,1,2,1,0,"yes",14,12,13,12,0,"no",8,14,15,16
"282","GP","M",17,"U","GT3","T",3,2,"services","services","course","mother",1,1,"no","yes","yes","yes","yes","yes","no",5,5,5,2,4,5,3,"no",16,6,5,5,3,"yes",2,8,8,7
"225","GP","M",16,"U","GT3","T",0,2,"other","other","other","mother",1,1,"no","no","no","no","yes","yes","no",4,3,2,2,4,5,0,"yes",0,13,15,15,0,"no",0,11,12,11
"344","MS","F",18,"R","LE3","T",4,4,"other","other","reputation","mother",2,3,"no","no","no","yes","yes","yes","no",5,4,4,1,1,1,0,"no",0,19,18,19,0,"no",0,15,17,17
"140","GP","F",17,"U","LE3","T",3,3,"other","other","reputation","mother",1,2,"no","yes","yes","yes","yes","yes","yes",5,3,3,2,3,1,0,"no",56,9,9,8,0,"no",32,14,13,14
"183","GP","M",15,"U","GT3","T",2,2,"services","services","course","father",1,1,"yes","yes","no","yes","yes","yes","no",5,4,1,1,1,1,0,"no",0,8,8,11,0,"no",0,9,10,10
"335","MS","F",17,"R","GT3","T",3,1,"at_home","other","reputation","mother",1,2,"no","yes","yes","no","yes","yes","no",4,5,4,2,3,1,0,"yes",17,10,10,10,0,"no",10,8,9,9
"184","GP","M",15,"U","GT3","T",2,2,"services","services","home","father",1,4,"no","yes","yes","yes","yes","yes","no",5,5,4,1,2,5,0,"yes",6,16,14,15,0,"no",6,14,13,13
"162.1","GP","F",18,"U","GT3","T",4,3,"services","other","home","father",1,2,"no","yes","no","yes","yes","yes","yes",3,1,2,1,3,2,0,"yes",21,17,18,18,0,"no",2,15,15,15
"47","GP","F",16,"U","GT3","T",1,1,"at_home","other","home","mother",2,1,"no","yes","no","yes","yes","no","no",4,3,2,1,4,5,0,"yes",6,9,9,10,0,"no",2,12,13,13
"292","GP","M",17,"U","LE3","T",1,1,"health","other","course","mother",2,1,"no","yes","yes","yes","yes","yes","no",4,4,4,1,2,5,1,"no",2,7,9,8,1,"no",0,9,10,10
"151","GP","F",18,"U","GT3","T",1,1,"other","other","home","mother",2,2,"yes","no","yes","yes","yes","yes","no",5,4,4,1,1,4,0,"no",4,8,9,10,0,"no",0,12,13,13
"106","GP","F",17,"U","GT3","A",4,3,"services","services","course","mother",1,2,"no","yes","no","yes","yes","yes","yes",5,2,2,1,2,5,0,"yes",23,13,13,13,0,"no",14,15,14,17
"198","GP","M",15,"U","GT3","T",4,4,"health","health","other","father",1,1,"no","yes","no","yes","yes","yes","no",5,4,2,1,1,5,0,"yes",0,12,15,15,0,"yes",0,11,12,12
"167","GP","F",18,"U","LE3","T",2,2,"other","other","home","other",1,2,"no","no","yes","no","yes","yes","yes",4,3,3,1,1,2,0,"no",0,8,8,0,0,"no",0,10,9,12
"357","MS","M",17,"U","LE3","T",3,1,"services","services","course","mother",2,1,"no","no","no","no","yes","yes","no",2,4,5,3,4,2,0,"no",3,14,16,16,0,"no",6,10,10,10
"79.1","GP","F",16,"U","GT3","T",4,4,"teacher","services","home","mother",1,3,"no","yes","yes","no","yes","yes","no",5,3,2,1,1,5,0,"no",0,13,13,14,0,"no",4,15,16,16
"3","GP","F",15,"R","GT3","T",2,2,"at_home","other","reputation","mother",1,1,"yes","yes","yes","yes","yes","no","no",4,3,1,1,1,2,0,"yes",8,14,13,13,0,"no",8,14,13,12
"35","GP","F",15,"U","LE3","T",1,1,"at_home","other","other","mother",1,2,"yes","no","no","yes","yes","yes","no",4,3,2,2,3,3,3,"yes",10,7,8,10,0,"no",6,12,13,12
"50.1","GP","F",16,"U","GT3","T",2,1,"other","other","course","mother",1,2,"no","yes","no","yes","yes","no","yes",4,3,5,1,1,5,0,"yes",2,8,9,10,0,"no",0,13,12,12
"196","GP","M",15,"U","GT3","T",4,3,"teacher","other","reputation","mother",1,2,"no","no","no","yes","yes","yes","no",4,4,1,1,1,1,0,"no",0,13,14,15,0,"no",0,12,13,14
"35.1","GP","F",15,"U","LE3","T",1,1,"at_home","other","other","mother",1,2,"yes","no","no","yes","yes","yes","no",4,3,2,2,3,3,3,"yes",10,7,8,10,0,"no",6,12,13,12
"37.1","GP","F",15,"U","LE3","T",4,2,"health","other","other","mother",1,2,"no","yes","no","yes","yes","yes","no",4,3,3,1,1,5,0,"yes",2,11,13,13,0,"no",0,16,14,16
"51","GP","F",16,"U","GT3","T",2,1,"other","other","home","mother",1,1,"no","no","no","yes","yes","yes","yes",4,5,2,1,1,5,0,"no",20,13,12,12,0,"no",4,9,10,10
"193.1","GP","M",15,"U","GT3","T",4,2,"teacher","other","home","mother",1,2,"no","yes","no","yes","yes","no","no",4,3,3,2,2,5,0,"yes",2,15,15,14,0,"no",4,11,12,13
"122.1","GP","F",17,"U","GT3","T",3,2,"other","other","home","mother",1,2,"no","yes","no","yes","yes","yes","yes",4,3,2,2,3,2,0,"yes",0,7,8,0,0,"no",0,12,13,15
"40.1","GP","F",16,"R","GT3","T",3,3,"services","other","reputation","father",1,3,"yes","yes","yes","yes","yes","yes","no",4,1,2,1,1,2,1,"no",0,7,10,10,0,"no",4,11,11,11
"99.1","GP","F",17,"R","GT3","T",4,3,"teacher","other","reputation","mother",2,3,"no","yes","yes","yes","yes","yes","yes",4,4,2,1,1,4,0,"yes",6,7,7,7,0,"no",0,11,12,12
"295.1","GP","M",17,"U","LE3","T",4,3,"health","other","course","mother",2,2,"no","no","yes","yes","yes","yes","yes",2,5,5,1,4,5,0,"no",14,12,12,12,0,"no",8,15,15,15
"263","GP","M",16,"U","LE3","T",4,3,"services","other","reputation","mother",1,2,"no","yes","yes","yes","yes","yes","no",5,4,2,1,2,5,0,"yes",10,15,15,15,0,"no",6,12,12,13
"85.1","GP","F",16,"U","LE3","T",2,2,"other","other","home","mother",2,2,"no","yes","yes","no","yes","yes","yes",3,3,3,1,2,3,1,"no",25,7,10,11,0,"no",16,11,11,10
"128","GP","F",17,"U","GT3","T",4,3,"health","services","reputation","mother",1,3,"no","yes","no","yes","yes","yes","no",4,2,2,1,2,3,0,"yes",0,15,15,15,0,"no",0,17,18,18
"259","GP","M",16,"U","LE3","T",2,2,"other","other","reputation","mother",2,2,"no","yes","yes","yes","yes","yes","no",5,4,4,2,4,5,0,"no",0,13,13,12,0,"no",2,10,10,10
"262","GP","M",16,"U","LE3","T",4,3,"health","other","home","father",1,1,"no","no","yes","yes","yes","yes","no",3,1,3,1,3,5,0,"yes",4,8,10,10,0,"no",6,12,12,12
"309.1","GP","M",18,"U","GT3","T",2,2,"other","services","reputation","father",1,2,"no","no","no","yes","no","yes","no",5,5,4,3,5,2,1,"no",0,7,7,0,0,"no",16,8,7,8
"23","GP","F",15,"U","GT3","T",4,2,"other","other","reputation","mother",1,3,"no","yes","yes","yes","yes","yes","no",5,3,3,1,3,1,0,"no",4,13,14,14,0,"no",4,15,15,15
"302.1","GP","M",18,"R","LE3","A",3,4,"other","other","reputation","mother",2,2,"no","yes","yes","yes","yes","yes","no",4,2,5,3,4,1,0,"yes",13,17,17,17,0,"no",6,15,16,16
"287","GP","M",17,"U","GT3","T",4,3,"other","other","course","mother",1,2,"no","yes","yes","yes","yes","yes","yes",5,2,3,1,1,2,0,"no",4,10,10,11,0,"yes",4,11,11,13
"57","GP","F",16,"U","GT3","T",2,2,"services","services","home","mother",1,1,"no","yes","no","no","yes","yes","no",1,2,2,1,3,5,2,"yes",14,6,9,8,0,"no",6,10,11,12
"83","GP","F",16,"U","LE3","T",2,2,"at_home","other","course","mother",1,2,"no","yes","no","yes","yes","no","no",4,3,4,1,2,2,0,"no",4,8,7,6,0,"no",6,13,11,11
"206","GP","M",15,"U","LE3","A",3,2,"services","other","home","mother",1,2,"no","yes","no","yes","yes","yes","no",4,2,2,1,1,1,0,"yes",0,16,18,19,0,"no",0,15,16,17
"351","MS","F",18,"U","LE3","T",1,1,"at_home","services","course","father",2,3,"no","no","no","yes","yes","yes","no",5,3,2,1,1,4,0,"no",0,18,16,16,0,"no",0,19,17,18
"121.1","GP","F",17,"U","GT3","T",3,2,"other","other","course","mother",1,2,"no","no","yes","no","yes","yes","no",5,3,4,1,3,3,0,"no",10,16,15,15,0,"no",2,17,18,17
"107","GP","F",17,"U","GT3","A",4,4,"other","teacher","home","mother",2,2,"yes","yes","no","yes","yes","no","no",4,1,4,1,1,1,0,"no",6,6,5,6,0,"no",2,10,13,13
"217","GP","M",16,"R","GT3","A",4,4,"other","teacher","reputation","mother",2,3,"no","yes","yes","yes","yes","yes","yes",2,4,3,1,1,5,0,"no",7,15,16,15,0,"no",4,13,13,13
"196.1","GP","M",15,"U","GT3","T",4,3,"teacher","other","reputation","mother",1,2,"no","no","no","yes","yes","yes","no",4,4,1,1,1,1,0,"no",0,13,14,15,0,"no",0,12,13,14
"328","GP","M",19,"U","GT3","T",3,2,"services","at_home","home","mother",1,1,"no","yes","no","yes","no","yes","yes",4,5,4,1,1,4,3,"no",0,5,0,0,0,"no",6,11,9,11
"44","GP","F",16,"U","GT3","A",3,1,"services","other","course","mother",1,2,"no","yes","no","yes","yes","yes","no",2,3,3,2,2,4,3,"yes",5,7,7,7,0,"no",2,11,11,12
"89.1","GP","F",16,"U","LE3","T",3,3,"other","other","reputation","mother",2,2,"no","yes","yes","yes","yes","yes","no",4,4,5,1,1,4,0,"yes",4,10,11,9,0,"no",0,14,14,15
"141.1","GP","F",17,"U","LE3","T",4,2,"teacher","services","reputation","mother",1,4,"no","yes","yes","yes","yes","yes","no",4,2,3,1,1,4,0,"yes",6,14,12,13,0,"no",2,14,15,17
"55.2","GP","F",16,"U","GT3","T",2,2,"other","other","reputation","mother",1,4,"no","no","no","yes","yes","yes","yes",5,2,3,1,3,3,0,"yes",0,11,11,11,0,"no",1,13,13,13
"85.2","GP","F",16,"U","LE3","T",2,2,"other","other","home","mother",2,2,"no","yes","yes","no","yes","yes","yes",3,3,3,1,2,3,1,"no",25,7,10,11,0,"no",16,11,11,10
"210.1","GP","M",15,"U","LE3","T",2,2,"services","health","reputation","mother",1,4,"no","yes","yes","yes","yes","yes","no",4,3,4,1,1,4,0,"no",6,11,13,14,0,"no",2,11,12,12
"192.1","GP","M",15,"U","GT3","T",4,2,"other","other","course","mother",1,4,"no","no","no","yes","yes","yes","no",3,3,3,1,1,3,0,"no",0,10,10,10,0,"no",0,11,9,10
"171.1","GP","F",19,"U","GT3","T",3,3,"other","other","reputation","other",1,4,"no","yes","yes","yes","yes","yes","no",4,3,3,1,2,3,0,"yes",10,8,8,8,0,"no",4,12,12,12
"233.1","GP","M",16,"U","GT3","T",3,1,"other","other","reputation","mother",1,1,"no","no","yes","yes","yes","no","no",5,3,2,2,2,5,0,"no",2,12,12,14,0,"no",0,13,13,14
"160.1","GP","F",18,"U","GT3","T",4,3,"other","other","course","mother",1,3,"no","yes","yes","yes","yes","yes","yes",4,3,4,1,1,5,0,"yes",9,9,10,9,0,"no",2,14,15,17
"36","GP","F",15,"U","LE3","T",3,2,"services","other","reputation","mother",1,2,"no","yes","no","yes","yes","yes","no",4,4,4,1,1,5,0,"yes",10,7,6,6,0,"no",4,12,11,11
"192.2","GP","M",15,"U","GT3","T",4,2,"other","other","course","mother",1,4,"no","no","no","yes","yes","yes","no",3,3,3,1,1,3,0,"no",0,10,10,10,0,"no",0,11,9,10
"139","GP","F",17,"U","LE3","T",3,2,"other","other","reputation","mother",2,2,"no","no","no","yes","yes","yes","no",4,4,4,1,3,1,0,"yes",2,14,15,15,0,"no",2,14,16,15
"181","GP","M",15,"U","GT3","A",4,4,"other","services","reputation","mother",1,4,"no","yes","yes","no","yes","yes","yes",1,3,3,5,5,3,0,"no",4,13,13,12,0,"no",0,11,12,12
"20.1","GP","F",15,"U","GT3","T",3,2,"health","services","home","father",1,2,"no","yes","no","yes","yes","yes","no",3,3,2,1,1,3,3,"no",0,6,7,0,1,"no",2,11,11,11
"46.2","GP","F",16,"U","GT3","A",3,4,"services","other","course","father",1,1,"no","no","no","yes","yes","yes","no",3,2,1,1,4,5,0,"no",16,12,11,11,0,"no",12,15,13,14
"135","GP","F",17,"U","LE3","T",2,2,"other","other","course","father",1,1,"no","yes","no","yes","yes","yes","yes",3,4,4,1,3,5,0,"no",12,10,13,12,0,"no",2,13,12,12
"139.1","GP","F",17,"U","LE3","T",3,2,"other","other","reputation","mother",2,2,"no","no","no","yes","yes","yes","no",4,4,4,1,3,1,0,"yes",2,14,15,15,0,"no",2,14,16,15
"122.2","GP","F",17,"U","GT3","T",3,2,"other","other","home","mother",1,2,"no","yes","no","yes","yes","yes","yes",4,3,2,2,3,2,0,"yes",0,7,8,0,0,"no",0,12,13,15
"96","GP","F",17,"R","GT3","T",2,2,"other","other","reputation","mother",1,1,"no","yes","no","yes","yes","yes","no",5,3,2,1,2,3,0,"no",18,7,6,6,0,"no",21,13,13,13
"110","GP","F",17,"U","GT3","T",1,1,"at_home","services","course","mother",1,2,"no","no","yes","yes","yes","yes","no",5,3,3,1,1,3,0,"no",0,8,8,9,0,"no",0,12,11,12
"118","GP","F",17,"U","GT3","T",2,4,"services","services","reputation","father",1,2,"no","yes","yes","yes","yes","no","no",5,4,2,2,3,5,0,"no",0,16,17,17,0,"no",0,17,18,17
"64","GP","F",16,"U","GT3","T",3,3,"other","other","home","mother",1,3,"no","yes","no","yes","yes","yes","yes",4,3,3,1,3,4,0,"yes",0,7,7,8,0,"no",2,9,11,11
"334","MS","F",17,"R","GT3","T",1,2,"other","services","course","father",2,2,"no","no","no","no","yes","no","no",3,2,2,1,2,3,0,"no",0,12,11,12,0,"no",0,13,13,13
"175.1","GP","M",15,"R","GT3","T",2,3,"at_home","services","course","mother",1,2,"yes","no","yes","yes","yes","no","no",4,4,4,1,1,1,0,"yes",2,11,8,8,0,"yes",0,7,8,8
"329.2","GP","M",19,"U","LE3","A",4,3,"services","at_home","reputation","mother",1,2,"no","yes","no","yes","yes","yes","no",4,3,1,1,1,1,0,"no",12,11,11,11,0,"no",4,11,13,14
"243","GP","M",16,"U","GT3","T",4,3,"teacher","other","home","mother",1,2,"no","yes","yes","yes","yes","yes","no",3,4,3,2,3,3,0,"yes",10,9,8,8,0,"yes",4,11,10,11
"5","GP","F",15,"R","GT3","T",3,3,"services","services","reputation","other",2,3,"no","yes","yes","yes","yes","yes","yes",4,2,1,2,3,3,2,"yes",8,10,10,10,0,"yes",2,13,13,13
"129","GP","F",17,"U","GT3","T",4,3,"other","other","reputation","mother",1,2,"no","no","no","yes","yes","yes","yes",3,4,5,2,4,1,2,"yes",22,6,6,4,0,"no",16,11,9,10
"68","GP","F",16,"U","GT3","T",4,2,"health","services","home","father",1,2,"no","no","no","yes","yes","yes","yes",4,2,3,1,1,3,0,"yes",0,14,15,16,0,"no",0,17,17,18
"59","GP","F",16,"U","GT3","T",2,3,"services","services","course","mother",1,2,"no","no","no","yes","yes","yes","no",4,3,3,1,1,2,0,"no",10,11,12,13,0,"no",6,12,12,13
"281.1","GP","M",17,"U","GT3","T",3,1,"services","other","other","mother",1,2,"no","no","yes","yes","yes","yes","yes",5,4,4,3,4,5,0,"yes",2,9,9,10,0,"no",0,11,11,14
"367","MS","M",18,"U","LE3","T",4,4,"teacher","services","other","mother",2,3,"no","no","no","yes","yes","yes","yes",4,2,2,2,2,5,0,"yes",0,13,13,13,0,"no",0,15,16,16
"337","MS","F",17,"U","GT3","T",2,2,"other","at_home","home","mother",1,3,"no","no","yes","yes","yes","no","yes",3,4,3,1,1,3,0,"no",8,13,11,11,0,"no",8,10,11,12
"15.1","GP","F",15,"U","GT3","T",1,2,"at_home","other","course","mother",1,2,"no","yes","no","no","yes","yes","no",4,3,2,1,1,5,0,"yes",2,10,11,11,0,"no",6,13,12,13
"28","GP","F",15,"U","GT3","T",4,4,"services","teacher","other","father",1,2,"yes","yes","yes","no","yes","yes","no",4,4,4,1,1,3,1,"no",2,7,7,7,0,"no",2,13,12,12
"151.1","GP","F",18,"U","GT3","T",1,1,"other","other","home","mother",2,2,"yes","no","yes","yes","yes","yes","no",5,4,4,1,1,4,0,"no",4,8,9,10,0,"no",0,12,13,13
"74","GP","F",16,"U","GT3","T",4,3,"teacher","other","other","mother",1,2,"no","no","yes","yes","yes","yes","yes",1,3,2,1,1,1,0,"yes",10,11,12,13,0,"no",4,14,15,15
"41","GP","F",16,"R","GT3","T",4,4,"health","teacher","other","mother",1,2,"no","yes","yes","yes","yes","no","no",2,4,4,2,3,4,0,"no",6,10,11,11,0,"no",0,17,16,16
"37.2","GP","F",15,"U","LE3","T",4,2,"health","other","other","mother",1,2,"no","yes","no","yes","yes","yes","no",4,3,3,1,1,5,0,"yes",2,11,13,13,0,"no",0,16,14,16
"76","GP","F",16,"U","GT3","T",4,4,"health","other","home","mother",1,1,"no","yes","no","yes","yes","yes","no",4,4,4,1,2,2,0,"no",4,14,14,14,0,"no",6,17,17,17
"112","GP","F",17,"U","GT3","T",1,1,"services","teacher","reputation","mother",1,3,"no","yes","no","yes","yes","yes","no",4,3,3,1,1,3,0,"yes",6,13,12,12,0,"no",0,13,13,14
"294","GP","M",17,"U","LE3","T",2,3,"services","services","reputation","father",1,2,"no","yes","no","no","yes","yes","no",5,3,3,1,3,3,0,"yes",2,12,11,12,0,"no",0,10,11,11
"95.1","GP","F",17,"R","GT3","T",2,1,"at_home","services","reputation","mother",2,2,"no","yes","yes","yes","yes","yes","no",4,2,5,1,2,5,0,"no",2,6,6,6,0,"no",0,11,10,11
"351.1","MS","F",18,"U","LE3","T",1,1,"at_home","services","course","father",2,3,"no","no","no","yes","yes","yes","no",5,3,2,1,1,4,0,"no",0,18,16,16,0,"no",0,19,17,18
"131","GP","F",17,"U","GT3","T",4,4,"services","teacher","home","mother",2,1,"no","yes","no","yes","yes","yes","no",4,2,4,2,3,2,1,"no",24,18,18,18,1,"no",30,14,15,16
"28.1","GP","F",15,"U","GT3","T",4,4,"services","teacher","other","father",1,2,"yes","yes","yes","no","yes","yes","no",4,4,4,1,1,3,1,"no",2,7,7,7,0,"no",2,13,12,12
"22.1","GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",1,3,"no","yes","yes","yes","yes","yes","yes",3,2,2,1,1,5,0,"yes",2,15,14,15,0,"no",0,14,14,14
"208.1","GP","M",15,"U","LE3","A",4,4,"teacher","teacher","course","mother",1,1,"no","no","yes","yes","yes","yes","no",5,5,3,1,1,4,0,"no",6,18,19,19,0,"no",4,13,14,14
"42","GP","F",16,"U","GT3","A",2,1,"other","other","other","mother",1,2,"no","no","yes","yes","yes","yes","yes",5,3,4,1,1,2,0,"yes",8,8,9,10,0,"no",2,12,13,12
"150","GP","F",18,"U","GT3","A",4,4,"at_home","teacher","course","mother",2,2,"yes","no","no","yes","yes","no","no",4,3,4,1,1,3,0,"no",6,5,6,6,0,"no",4,0,11,11
"246.2","GP","M",16,"U","GT3","T",4,4,"services","services","course","mother",1,1,"no","no","yes","yes","yes","yes","no",5,3,2,1,2,5,0,"no",0,13,12,12,0,"yes",4,14,15,15
"243.1","GP","M",16,"U","GT3","T",4,3,"teacher","other","home","mother",1,2,"no","yes","yes","yes","yes","yes","no",3,4,3,2,3,3,0,"yes",10,9,8,8,0,"yes",4,11,10,11
"73","GP","F",16,"U","GT3","T",4,3,"teacher","health","home","mother",1,3,"yes","yes","yes","yes","yes","yes","no",3,4,4,2,4,4,0,"yes",2,10,9,9,0,"no",0,14,13,13
"155.1","GP","F",18,"U","GT3","T",2,2,"at_home","services","home","mother",1,3,"no","yes","yes","yes","yes","yes","yes",4,3,3,1,1,3,0,"yes",0,9,10,0,0,"no",0,11,12,13
"234","GP","M",16,"U","GT3","T",3,2,"at_home","other","reputation","mother",2,3,"no","no","yes","yes","yes","yes","yes",5,3,3,1,3,2,0,"no",10,11,9,10,0,"no",0,12,12,12
"263.1","GP","M",16,"U","LE3","T",4,3,"services","other","reputation","mother",1,2,"no","yes","yes","yes","yes","yes","no",5,4,2,1,2,5,0,"yes",10,15,15,15,0,"no",6,12,12,13
"131.1","GP","F",17,"U","GT3","T",4,4,"services","teacher","home","mother",2,1,"no","yes","no","yes","yes","yes","no",4,2,4,2,3,2,1,"no",24,18,18,18,1,"no",30,14,15,16
"293","GP","M",17,"U","LE3","T",2,2,"other","other","home","father",1,2,"no","no","yes","no","yes","yes","yes",4,4,2,5,5,4,0,"yes",4,14,13,13,0,"no",0,16,16,16
"352.1","MS","F",18,"U","LE3","T",3,1,"teacher","services","course","mother",1,2,"no","yes","no","yes","yes","yes","no",4,3,4,1,1,1,0,"yes",0,7,9,8,0,"no",4,15,15,16
"21","GP","F",15,"U","GT3","T",3,2,"services","other","home","mother",2,2,"yes","yes","no","yes","yes","yes","no",4,3,5,1,1,2,0,"yes",26,7,6,6,0,"no",16,11,10,10
"296.1","GP","M",17,"U","LE3","T",4,3,"teacher","other","course","mother",2,2,"no","no","yes","yes","yes","yes","no",4,4,4,4,4,4,0,"yes",4,10,9,9,0,"no",0,10,11,11
"211","GP","M",15,"U","LE3","T",2,2,"services","services","home","mother",2,2,"no","no","yes","yes","yes","yes","no",5,3,3,1,3,4,0,"yes",4,15,15,15,0,"yes",2,13,12,13
"200","GP","M",15,"U","GT3","T",4,4,"other","teacher","reputation","father",2,2,"no","yes","yes","yes","yes","no","no",4,4,3,1,1,2,0,"no",2,11,13,14,0,"no",4,16,15,16
"296.2","GP","M",17,"U","LE3","T",4,3,"teacher","other","course","mother",2,2,"no","no","yes","yes","yes","yes","no",4,4,4,4,4,4,0,"yes",4,10,9,9,0,"no",0,10,11,11
"370.1","MS","M",19,"R","GT3","T",1,1,"other","services","other","mother",2,1,"no","no","no","yes","yes","no","no",4,3,2,1,3,5,1,"no",0,6,5,0,1,"no",0,5,8,0
"139.2","GP","F",17,"U","LE3","T",3,2,"other","other","reputation","mother",2,2,"no","no","no","yes","yes","yes","no",4,4,4,1,3,1,0,"yes",2,14,15,15,0,"no",2,14,16,15
"263.2","GP","M",16,"U","LE3","T",4,3,"services","other","reputation","mother",1,2,"no","yes","yes","yes","yes","yes","no",5,4,2,1,2,5,0,"yes",10,15,15,15,0,"no",6,12,12,13
"269.1","GP","M",17,"R","GT3","T",2,2,"other","other","course","father",2,2,"no","yes","yes","yes","yes","yes","no",4,5,2,1,1,1,0,"yes",4,11,11,11,0,"no",0,12,13,13
"306","GP","M",18,"U","GT3","T",2,1,"services","services","other","mother",1,1,"no","no","no","no","no","yes","no",3,2,5,2,5,5,1,"no",4,6,9,8,2,"no",4,7,8,6
"342","MS","F",18,"R","GT3","T",4,4,"other","teacher","other","father",3,2,"no","yes","no","no","yes","yes","yes",3,2,2,4,2,5,0,"yes",10,14,12,11,0,"no",0,7,5,0
"245","GP","M",16,"U","GT3","T",4,4,"health","other","reputation","father",1,2,"no","yes","yes","yes","yes","yes","no",4,2,4,2,4,1,0,"yes",2,14,13,13,0,"no",0,13,13,14
"164","GP","F",18,"U","GT3","T",4,4,"teacher","other","course","mother",1,2,"no","yes","no","yes","yes","yes","no",4,4,4,3,3,5,0,"yes",2,11,11,11,0,"no",0,12,11,13
"356","MS","M",17,"U","GT3","T",3,3,"health","other","course","mother",2,2,"no","yes","no","yes","yes","yes","no",4,5,4,2,3,3,0,"yes",2,13,13,13,1,"no",4,8,9,10
"334.1","MS","F",17,"R","GT3","T",1,2,"other","services","course","father",2,2,"no","no","no","no","yes","no","no",3,2,2,1,2,3,0,"no",0,12,11,12,0,"no",0,13,13,13
"89.2","GP","F",16,"U","LE3","T",3,3,"other","other","reputation","mother",2,2,"no","yes","yes","yes","yes","yes","no",4,4,5,1,1,4,0,"yes",4,10,11,9,0,"no",0,14,14,15
"56.1","GP","F",16,"U","GT3","T",2,2,"services","other","reputation","mother",2,2,"no","no","yes","no","yes","yes","no",3,4,4,1,4,5,0,"yes",2,13,13,11,0,"no",0,13,12,14
"241.1","GP","M",16,"U","GT3","T",3,4,"other","other","course","father",3,1,"no","yes","yes","no","yes","yes","no",3,4,5,2,4,2,2,"no",0,6,5,0,1,"no",4,9,9,10
"18","GP","F",15,"U","GT3","T",2,2,"other","other","course","mother",1,4,"yes","yes","no","yes","yes","yes","no",5,1,2,1,1,3,0,"yes",8,7,8,8,0,"no",4,10,10,10
"235.1","GP","M",16,"U","GT3","T",3,2,"other","other","home","mother",1,1,"no","yes","no","no","yes","yes","no",5,4,3,1,1,5,0,"yes",0,12,14,15,0,"no",4,12,12,12
"58.1","GP","F",16,"U","GT3","T",2,3,"other","other","reputation","mother",1,2,"yes","yes","yes","yes","yes","no","no",4,4,3,1,3,4,0,"yes",6,8,10,10,0,"no",4,11,12,12
